,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Availability Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Stage,Category,Unit Type,Unit Code,Grand Total (Pricing Structure),Total Finishing Price,Unit Total with Finishing Price,Planned Delivery Date,Actual Delivery Date,Completion Progress, Land Area  (Pricing Structure), Built Area  (Pricing Structure), Basement Area  (Pricing Structure), Uncovered Basement Area  (Pricing Structure), Penthouse Area  (Pricing Structure), Semi Covered Roof Area  (Pricing Structure), Roof Area  (Pricing Structure),Garden / Outdoor Area (Pricing Structure), Garage Area  (Pricing Structure),  Pergola Area  (Pricing Structure), Storage Area  (Pricing Structure), Extra BuiltUp Area  (Pricing Structure),Finishing Specs, Club  (Pricing Structure),,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A24-M,"ج.م.‏​14,482,000.00",ج.م.‏​0.00,"ج.م.‏​14,482,000.00",6/30/2028,,0.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 1B,Apartment,PNC-74A31-M,"ج.م.‏​9,487,000.00",ج.م.‏​0.00,"ج.م.‏​9,487,000.00",6/30/2028,,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A42-M,"ج.م.‏​16,566,000.00",ج.م.‏​0.00,"ج.م.‏​16,566,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B,Apartment,PNC-74A43-M,"ج.م.‏​18,751,000.00",ج.م.‏​0.00,"ج.م.‏​18,751,000.00",6/30/2028,,0.00,0.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A52-M,"ج.م.‏​16,655,000.00",ج.م.‏​0.00,"ج.م.‏​16,655,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B,Apartment,PNC-74A53-M,"ج.م.‏​18,851,000.00",ج.م.‏​0.00,"ج.م.‏​18,851,000.00",6/30/2028,,0.00,0.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A54-M,"ج.م.‏​14,640,000.00",ج.م.‏​0.00,"ج.م.‏​14,640,000.00",6/30/2028,,0.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 1B,Apartment,PNC-74A61-M,"ج.م.‏​9,539,000.00",ج.م.‏​0.00,"ج.م.‏​9,539,000.00",6/30/2028,,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A62-M,"ج.م.‏​16,655,000.00",ج.م.‏​0.00,"ج.م.‏​16,655,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A64-M,"ج.م.‏​14,576,000.00",ج.م.‏​0.00,"ج.م.‏​14,576,000.00",6/30/2028,,0.00,0.00,114.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74A72-M,"ج.م.‏​16,387,000.00",ج.م.‏​0.00,"ج.م.‏​16,387,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Apartment-With Garden  2B,Apartment,PNC-74B02-M,"ج.م.‏​18,501,000.00",ج.م.‏​0.00,"ج.م.‏​18,501,000.00",6/30/2028,,0.00,0.00,132.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Apartment-With Garden  3B+N,Apartment,PNC-74B03-M,"ج.م.‏​25,009,000.00",ج.م.‏​0.00,"ج.م.‏​25,009,000.00",6/30/2028,,0.00,0.00,172.00,0.00,0.00,0.00,0.00,0.00,128.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74B22-M,"ج.م.‏​16,477,000.00",ج.م.‏​0.00,"ج.م.‏​16,477,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B+N,Apartment,PNC-74B23-M,"ج.م.‏​21,446,000.00",ج.م.‏​0.00,"ج.م.‏​21,446,000.00",6/30/2028,,0.00,0.00,173.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 1B,Apartment,PNC-74B31-M,"ج.م.‏​9,487,000.00",ج.م.‏​0.00,"ج.م.‏​9,487,000.00",6/30/2028,,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B+N,Apartment,PNC-74B33-M,"ج.م.‏​21,561,000.00",ج.م.‏​0.00,"ج.م.‏​21,561,000.00",6/30/2028,,0.00,0.00,173.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-74B64-M,"ج.م.‏​14,512,000.00",ج.م.‏​0.00,"ج.م.‏​14,512,000.00",6/30/2028,,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Apartment-With Garden  1B,Apartment,PNC-75A01-M-M,"ج.م.‏​10,419,000.00",ج.م.‏​0.00,"ج.م.‏​10,419,000.00",6/30/2028,,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-75A32-M-M,"ج.م.‏​17,101,000.00",ج.م.‏​0.00,"ج.م.‏​17,101,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B,Apartment,PNC-75A43-M-M,"ج.م.‏​20,064,000.00",ج.م.‏​0.00,"ج.م.‏​20,064,000.00",6/30/2028,,0.00,0.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-75A52-M-M,"ج.م.‏​17,191,000.00",ج.م.‏​0.00,"ج.م.‏​17,191,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-75A72-M-M,"ج.م.‏​16,923,000.00",ج.م.‏​0.00,"ج.م.‏​16,923,000.00",6/30/2028,,0.00,0.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B+N,Apartment,PNC-75B23-M-M,"ج.م.‏​22,131,000.00",ج.م.‏​0.00,"ج.م.‏​22,131,000.00",6/30/2028,,0.00,0.00,173.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 3B+N,Apartment,PNC-75B33-M-M,"ج.م.‏​22,244,000.00",ج.م.‏​0.00,"ج.م.‏​22,244,000.00",6/30/2028,,0.00,0.00,173.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 1B,Apartment,PNC-75B61-M-M,"ج.م.‏​9,539,000.00",ج.م.‏​0.00,"ج.م.‏​9,539,000.00",6/30/2028,,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
Palm Hills New Cairo,Palm Hills New Cairo_Phase 5A,PNC-Typical Apartment 2B,Apartment,PNC-75B64-M-M,"ج.م.‏​14,902,000.00",ج.م.‏​0.00,"ج.م.‏​14,902,000.00",6/30/2028,,0.00,0.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PNC-FFA-I,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-12,"ج.م.‏​25,692,000.00",ج.م.‏​0.00,"ج.م.‏​25,692,000.00",6/30/2027,,0.00,0.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-13,"ج.م.‏​31,281,000.00",ج.م.‏​0.00,"ج.م.‏​31,281,000.00",6/30/2027,,0.00,0.00,176.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-14,"ج.م.‏​22,735,000.00",ج.م.‏​0.00,"ج.م.‏​22,735,000.00",6/30/2027,,0.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-19,"ج.م.‏​21,067,000.00",ج.م.‏​0.00,"ج.م.‏​21,067,000.00",6/30/2027,,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-23,"ج.م.‏​23,172,000.00",ج.م.‏​0.00,"ج.م.‏​23,172,000.00",6/30/2027,,0.00,0.00,129.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-24,"ج.م.‏​32,589,000.00",ج.م.‏​0.00,"ج.م.‏​32,589,000.00",6/30/2027,,0.00,0.00,183.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-25,"ج.م.‏​25,830,000.00",ج.م.‏​0.00,"ج.م.‏​25,830,000.00",6/30/2027,,0.00,0.00,158.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-26,"ج.م.‏​19,270,000.00",ج.م.‏​0.00,"ج.م.‏​19,270,000.00",6/30/2027,,0.00,0.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fourth Floor-Office,Offices,PLNC-AP-B-04-27,"ج.م.‏​19,270,000.00",ج.م.‏​0.00,"ج.م.‏​19,270,000.00",6/30/2027,,0.00,0.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
Hacienda Heneish,HH-Phase 2,HH-Villa D Lagoon View-Penthouse-M,Villa,HH-VLD-571-M,"ج.م.‏​56,864,000.00",ج.م.‏​0.00,"ج.م.‏​56,864,000.00",12/31/2029,,0.00,302.50,224.00,0.00,0.00,40.50,0.00,67.50,0.00,0.00,0.00,0.00,0.00,VL-FFII,ج.م.‏​0.00,,
Hacienda Heneish,HH-Phase 1,HH-Junior Chalet-Ground,Chalet,HH-JCH-843AG,"ج.م.‏​23,169,000.00",ج.م.‏​0.00,"ج.م.‏​23,169,000.00",6/30/2028,,0.00,0.00,116.00,0.00,0.00,0.00,0.00,0.00,228.50,0.00,0.00,0.00,0.00,CH-FFI,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fifth Floor-Office-Outdoor,Offices,PLNC-AP-B-05-01,"ج.م.‏​19,776,000.00",ج.م.‏​0.00,"ج.م.‏​19,776,000.00",6/30/2027,,0.00,0.00,95.50,0.00,0.00,0.00,0.00,0.00,44.50,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PHNC Commercial,Palmet New Cairo,Palmet NC-Fifth Floor-Office,Offices,PLNC-AP-B-05-19,"ج.م.‏​21,266,000.00",ج.م.‏​0.00,"ج.م.‏​21,266,000.00",6/30/2027,,0.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,CS-OF,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1164-01-M,"ج.م.‏​25,812,000.00",ج.م.‏​0.00,"ج.م.‏​25,812,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1164-02-M,"ج.م.‏​27,045,000.00",ج.م.‏​0.00,"ج.م.‏​27,045,000.00",6/30/2028,,0.00,0.00,160.92,0.00,0.00,0.00,0.00,0.00,75.66,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1164-11-M,"ج.م.‏​21,544,000.00",ج.م.‏​0.00,"ج.م.‏​21,544,000.00",6/30/2028,,0.00,0.00,139.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1164-21-M,"ج.م.‏​21,374,000.00",ج.م.‏​0.00,"ج.م.‏​21,374,000.00",6/30/2028,,0.00,0.00,138.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Penthouse-2B,Apartment,PX-1164-31-M,"ج.م.‏​18,748,000.00",ج.م.‏​0.00,"ج.م.‏​18,748,000.00",6/30/2028,,0.00,0.00,113.19,0.00,0.00,0.00,0.00,20.47,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1165-01-M,"ج.م.‏​25,812,000.00",ج.م.‏​0.00,"ج.م.‏​25,812,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Dawn-Garden-2B,Apartment,PX-1168-01-M,"ج.م.‏​23,186,000.00",ج.م.‏​0.00,"ج.م.‏​23,186,000.00",6/30/2028,,0.00,0.00,129.86,0.00,0.00,0.00,0.00,0.00,69.96,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Dawn-Typical-2B,Apartment,PX-1168-12-M,"ج.م.‏​21,330,000.00",ج.م.‏​0.00,"ج.م.‏​21,330,000.00",6/30/2028,,0.00,0.00,138.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Dawn-Typical-2B,Apartment,PX-1168-22-M,"ج.م.‏​21,330,000.00",ج.م.‏​0.00,"ج.م.‏​21,330,000.00",6/30/2028,,0.00,0.00,138.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1174-01-M,"ج.م.‏​25,812,000.00",ج.م.‏​0.00,"ج.م.‏​25,812,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1175-01,"ج.م.‏​25,812,000.00",ج.م.‏​0.00,"ج.م.‏​25,812,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1176-01-M,"ج.م.‏​23,980,000.00",ج.م.‏​0.00,"ج.م.‏​23,980,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1176-11-M,"ج.م.‏​20,027,000.00",ج.م.‏​0.00,"ج.م.‏​20,027,000.00",6/30/2028,,0.00,0.00,139.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1176-21-M,"ج.م.‏​20,027,000.00",ج.م.‏​0.00,"ج.م.‏​20,027,000.00",6/30/2028,,0.00,0.00,138.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1177-01,"ج.م.‏​25,812,000.00",ج.م.‏​0.00,"ج.م.‏​25,812,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1177-11,"ج.م.‏​21,544,000.00",ج.م.‏​0.00,"ج.م.‏​21,544,000.00",6/30/2028,,0.00,0.00,139.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1177-21,"ج.م.‏​21,544,000.00",ج.م.‏​0.00,"ج.م.‏​21,544,000.00",6/30/2028,,0.00,0.00,138.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1178-11-M,"ج.م.‏​22,302,000.00",ج.م.‏​0.00,"ج.م.‏​22,302,000.00",6/30/2028,,0.00,0.00,139.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-3B+N,Apartment,PX-1178-23-M,"ج.م.‏​26,036,000.00",ج.م.‏​0.00,"ج.م.‏​26,036,000.00",6/30/2028,,0.00,0.00,170.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1179-01,"ج.م.‏​26,728,000.00",ج.م.‏​0.00,"ج.م.‏​26,728,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1179-11,"ج.م.‏​22,302,000.00",ج.م.‏​0.00,"ج.م.‏​22,302,000.00",6/30/2028,,0.00,0.00,139.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-2B,Apartment,PX-1179-21,"ج.م.‏​22,124,000.00",ج.م.‏​0.00,"ج.م.‏​22,124,000.00",6/30/2028,,0.00,0.00,138.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-1B,Apartment,PX-1181-22,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-1B,Apartment,PX-1182-22-M,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1186-02-M,"ج.م.‏​26,805,000.00",ج.م.‏​0.00,"ج.م.‏​26,805,000.00",6/30/2028,,0.00,0.00,160.92,0.00,0.00,0.00,0.00,0.00,75.66,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1187-01,"ج.م.‏​25,584,000.00",ج.م.‏​0.00,"ج.م.‏​25,584,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1187-02,"ج.م.‏​26,805,000.00",ج.م.‏​0.00,"ج.م.‏​26,805,000.00",6/30/2028,,0.00,0.00,160.92,0.00,0.00,0.00,0.00,0.00,75.66,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-1B,Apartment,PX-1188-22-M,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-1B,Apartment,PX-1189-12,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Typical-1B,Apartment,PX-1189-22,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye1-Typical-1B,Apartment,PX-1190-12-M,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye1-Garden-3B,Apartment,PX-1191-01,"ج.م.‏​25,584,000.00",ج.م.‏​0.00,"ج.م.‏​25,584,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye1-Garden-3B,Apartment,PX-1193-01,"ج.م.‏​25,584,000.00",ج.م.‏​0.00,"ج.م.‏​25,584,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye1-Garden-3B,Apartment,PX-1193-02,"ج.م.‏​26,805,000.00",ج.م.‏​0.00,"ج.م.‏​26,805,000.00",6/30/2028,,0.00,0.00,160.92,0.00,0.00,0.00,0.00,0.00,75.66,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye1-Typical-1B,Apartment,PX-1193-12,"ج.م.‏​14,140,000.00",ج.م.‏​0.00,"ج.م.‏​14,140,000.00",6/30/2028,,0.00,0.00,77.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
PX,PX-Phase 1,PX-Skye2-Garden-3B,Apartment,PX-1194-01-M,"ج.م.‏​25,584,000.00",ج.م.‏​0.00,"ج.م.‏​25,584,000.00",6/30/2028,,0.00,0.00,152.90,0.00,0.00,0.00,0.00,0.00,73.34,0.00,0.00,0.00,0.00,FFAI,ج.م.‏​0.00,,
