,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Availability Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Stage,Category,Unit Type,Unit Code,Grand Total (Pricing Structure),Total Finishing Price,Unit Total with Finishing Price,Planned Delivery Date,Actual Delivery Date,Completion Progress, Land Area  (Pricing Structure), Built Area  (Pricing Structure), Basement Area  (Pricing Structure), Uncovered Basement Area  (Pricing Structure), Penthouse Area  (Pricing Structure), Semi Covered Roof Area  (Pricing Structure), Roof Area  (Pricing Structure),Garden / Outdoor Area (Pricing Structure), Garage Area  (Pricing Structure),  Pergola Area  (Pricing Structure), Storage Area  (Pricing Structure), Extra BuiltUp Area  (Pricing Structure),Finishing Specs, Club  (Pricing Structure),,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Penthouse,Apartment,D2A8-02-0252,"ج.م.‏​7,592,000.00","ج.م.‏​2,275,228.80","ج.م.‏​9,867,228.80",6/30/2030,,,0.00,107.91,0.00,0.00,0.00,0.00,8.46,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Penthouse,Apartment,D2A8-02-0253,"ج.م.‏​8,415,000.00","ج.م.‏​2,538,290.80","ج.م.‏​10,953,290.80",6/30/2030,,,0.00,114.56,0.00,0.00,0.00,0.00,28.86,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Garden,Apartment,D2A8-02-0301-M,"ج.م.‏​12,288,000.00","ج.م.‏​3,296,412.00","ج.م.‏​15,584,412.00",6/30/2030,,,0.00,160.02,0.00,0.00,0.00,0.00,0.00,60.24,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Garden,Apartment,D2A8-02-0302-M,"ج.م.‏​11,744,000.00","ج.م.‏​3,030,672.00","ج.م.‏​14,774,672.00",6/30/2030,,,0.00,147.12,0.00,0.00,0.00,0.00,0.00,70.61,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Typical,Apartment,D2A8-02-0311-M,"ج.م.‏​10,560,000.00","ج.م.‏​3,132,230.00","ج.م.‏​13,692,230.00",6/30/2030,,,0.00,152.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0312-M,"ج.م.‏​9,070,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,689,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0322-M,"ج.م.‏​8,989,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,608,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Typical,Apartment,D2A8-02-0341-M,"ج.م.‏​10,655,000.00","ج.م.‏​3,132,230.00","ج.م.‏​13,787,230.00",6/30/2030,,,0.00,152.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0342-M,"ج.م.‏​8,989,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,608,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Penthouse,Apartment,D2A8-02-0351-M,"ج.م.‏​10,945,000.00","ج.م.‏​3,251,710.00","ج.م.‏​14,196,710.00",6/30/2030,,,0.00,151.07,0.00,0.00,0.00,0.00,22.60,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
